_id,_masterChatId,_roomId,_hashTag,_firstLineValue,_iconPath,_appearCharaIdList,_masterReleaseLabelId
1001001,1001,1,Honoka (DM),穗乃果: 嘿嘿！,profile_01001_0000,1001,1
1001002,1001,2,Honoka (Birthday 2023),穗乃果上線了,profile_01001_0000,1001,123080302
1001003,1001,3,Honoka (Birthday 2023),穗乃果: HAPPY BIRTHDAY!,profile_01001_0000,1001,1
1001004,1001,16,Honoka (New Year's 2024),穗乃果: Happy New Year!,profile_01001_0000,1001,324010140
1001005,1001,17,Honoka Valentine 2024,穗乃果: Listen，listen..!,profile_01001_0000,1001,324021434
1001007,1001,7,Honoka (April 2023),Eri: Thanks 為 Valentine's Day chocolates today!,profile_01001_0000,1001,1
1001008,1001,8,Honoka (May 2023),小鳥: Happy Valentine's Day!,profile_01001_0000,1001,1
1001009,1001,9,Honoka (June 2023),海未: Thank you 為 Valentine's Day chocolates today!,profile_01001_0000,1001,323061304
1001010,1001,10,Honoka (July 2023),穗乃果: Summer vacation is finally here!,profile_01001_0000,1001,323072107
1001011,1001,11,Honoka (Summer Vacation 2023),穗乃果: Hey heyyy.,profile_01001_0000,1001,323082003
1001012,1001,12,Honoka (September 2023),穗乃果: Hey，got minute?,profile_01001_0000,1001,323092104
1001013,1001,13,Honoka (Halloween 2023),穗乃果: Trick 或 treat!,profile_01001_0000,1001,323103132
1001014,1001,14,Honoka (November 2023),穗乃果: Hey there.,profile_01001_0000,1001,323111603
1001015,1001,15,Honoka (Christmas 2023),穗乃果: Merry Christmas!,profile_01001_0000,1001,323122413
1001018,1001,18,Honoka (White Day 2024),穗乃果: Today's White Day!,profile_01001_0000,1001,324031435
1002001,1002,1,Eli (DM),繪里上線了,profile_01002_0000,1002,1
1002002,1002,2,Eli (Birthday 2023),繪里上線了,profile_01002_0000,1002,123102102
1002003,1002,3,Eli (Birthday 2023),繪里: Happy birthday!,profile_01002_0000,1002,1
1002004,1002,16,Eli: (New Year's 2024),繪里: Happy New Year,profile_01002_0000,1002,324010141
1002005,1002,17,Eri Valentine 2024,Eri: Thanks 為 Valentine's Day chocolates today!,profile_01002_0000,1002,324021435
