_id,_masterChatId,_roomId,_chapterId,_scriptKey,_title,_firstLineValue,_noticeValue,_appearStampIdList,_masterReleaseLabelId
100100101,1001,1,100100101,1001_1_1,穗乃果 (私訊),穗乃果: 嘿嘿！,穗乃果: 嘿嘿！,"stamp_00_00000_0005,stamp_00_00000_0007,stamp_00_00000_0095",1
100100102,1001,1,100100102,1001_1_2,穗乃果 (私訊),穗乃果傳送了貼圖,穗乃果傳送了貼圖,"stamp_00_00000_0001,stamp_00_00000_0026,stamp_00_00000_0049,stamp_00_00000_0050,stamp_00_00000_0059,stamp_00_00000_0083,stamp_00_00000_0085",1
100100103,1001,1,100100103,1001_1_3,穗乃果 (私訊),穗乃果上線了,穗乃果上線了,"stamp_00_00000_0017,stamp_00_00000_0039,stamp_00_00000_0053,stamp_00_00000_0060",1
100100104,1001,1,100100104,1001_1_4,穗乃果 (私訊),穗乃果傳送了貼圖,穗乃果傳送了貼圖,"stamp_00_00000_0001,stamp_00_00000_0009,stamp_00_00000_0011,stamp_00_00000_0019,stamp_00_00000_0021,stamp_00_00000_0029,stamp_00_00000_0036,stamp_00_00000_0038,stamp_00_00000_0078",1
100100105,1001,1,100100105,1001_1_5,穗乃果 (私訊),穗乃果: 曜 watch that -RISE video yet?,穗乃果: 曜 watch that -RISE video yet?,"stamp_00_00000_0006,stamp_00_00000_0009,stamp_00_00000_0019,stamp_00_00000_0035,stamp_00_00000_0048,stamp_00_00000_0050,stamp_00_00000_0061,stamp_00_00000_0085,stamp_01_01001_0003",1
100100106,1001,1,100100106,1001_1_6,穗乃果 (私訊),穗乃果: Hey！I've got BIG news!,穗乃果: Hey！I've got BIG news!,"stamp_00_00000_0004,stamp_00_00000_0036,stamp_00_00000_0048,stamp_00_00000_0054,stamp_00_00000_0061,stamp_00_00000_0091",1
100100107,1001,1,100100107,1001_1_7,穗乃果 (私訊),穗乃果上線了,穗乃果上線了,"stamp_00_00000_0009,stamp_00_00000_0052,stamp_00_00000_0079",1
100100108,1001,1,100100108,1001_1_8,穗乃果 (私訊),穗乃果: I'm back!,穗乃果: I'm back!,"stamp_00_00000_0036,stamp_00_00000_0038,stamp_00_00000_0046,stamp_00_00000_0049,stamp_00_00000_0078",1
100100109,1001,1,100100109,1001_1_9,穗乃果 (私訊),穗乃果上線了,穗乃果上線了,"stamp_00_00000_0016,stamp_00_00000_0021,stamp_00_00000_0037,stamp_00_00000_0039,stamp_00_00000_0077",1
100100110,1001,1,100100110,1001_1_10,穗乃果 (私訊),穗乃果: Plans are all set!,穗乃果: Plans are all set!,"stamp_00_00000_0019,stamp_00_00000_0020,stamp_00_00000_0021,stamp_00_00000_0037,stamp_00_00000_0050,stamp_00_00000_0060",1
100100111,1001,1,100100111,1001_1_11,穗乃果 (私訊),穗乃果傳送了貼圖,穗乃果傳送了貼圖,"stamp_00_00000_0039,stamp_00_00000_0041,stamp_00_00000_0059,stamp_00_00000_0081,stamp_00_00000_0091",1
100100112,1001,1,100100112,1001_1_12,穗乃果 (私訊),穗乃果上線了,穗乃果上線了,"stamp_00_00000_0009,stamp_00_00000_0054,stamp_00_00000_0059,stamp_00_00000_0085",1
100100113,1001,1,100100113,1001_1_13,穗乃果 (私訊),穗乃果上線了,穗乃果上線了,"stamp_00_00000_0004,stamp_00_00000_0040,stamp_00_00000_0048,stamp_00_00000_0049,stamp_00_00000_0059,stamp_00_00000_0078,stamp_00_00000_0085,stamp_00_00000_0089,stamp_00_00000_0091,stamp_00_00000_0095",1
100100114,1001,1,100100114,1001_1_14,穗乃果 (私訊),穗乃果: 曜 at 演唱會 venue yet?,穗乃果: 曜 at 演唱會 venue yet?,"stamp_00_00000_0035,stamp_00_00000_0077,stamp_00_00000_0084,stamp_00_00000_0090",1
100100115,1001,1,100100115,1001_1_15,穗乃果 (私訊),穗乃果: Thanks 為 coming 至 show today!,穗乃果: Thanks 為 coming 至 show today!,"stamp_00_00000_0007,stamp_00_00000_0009,stamp_00_00000_0029,stamp_00_00000_0059,stamp_00_00000_0066,stamp_00_00000_0077",1
100100201,1001,2,100100201,1001_2_1,穗乃果 (生日 2023),穗乃果上線了,穗乃果上線了,"stamp_00_00000_0009,stamp_00_00000_0048,stamp_00_00000_0053,stamp_00_00000_0060,stamp_00_00000_0061,stamp_00_00000_0066,stamp_00_00000_0077,stamp_00_00000_0079,stamp_00_00000_0088",123080302
100100301,1001,3,100100301,1001_3_1,穗乃果 (生日 2023),穗乃果: HAPPY BIRTHDAY!,穗乃果: HAPPY BIRTHDAY!,"stamp_00_00000_0005,stamp_00_00000_0009,stamp_00_00000_0012,stamp_00_00000_0059,stamp_00_00000_0060,stamp_00_00000_0066,stamp_00_00000_0084,stamp_00_00000_0089",1
100100401,1001,16,100100401,1001_16_1,穗乃果 (New Year's 2024),穗乃果: Happy New Year!,穗乃果: Happy New Year!,"stamp_00_00000_0004,stamp_00_00000_0060,stamp_00_00000_0076,stamp_01_01001_0003",324010140
100100501,1001,17,100100501,1001_17_1,穗乃果 Valentine 2024,穗乃果: Listen，listen..!,穗乃果: Hey，can you hear me out 為 sec?,"stamp_00_00000_0006,stamp_00_00000_0007,stamp_00_00000_0017,stamp_00_00000_0054",324021434
100100701,1001,7,100100701,1001_7_1,穗乃果 (4月 2023),穗乃果: Spring has sprung!,穗乃果: Spring has sprung!,stamp_00_00000_0056,1
100100801,1001,8,100100801,1001_8_1,穗乃果 (5月 2023),"穗乃果: So hey,","穗乃果: So hey,",stamp_00_00000_0076,1
100100901,1001,9,100100901,1001_9_1,穗乃果 (6月 2023),穗乃果: Phew...,穗乃果: Phew...,"stamp_00_00000_0002,stamp_00_00000_0009,stamp_00_00000_0087,stamp_01_01001_0003",323061304
100101001,1001,10,100101001,1001_10_1,穗乃果 (7月 2023),穗乃果: Summer vacation is finally here!,穗乃果: Summer vacation is finally here!,"stamp_00_00000_0046,stamp_00_00000_0076,stamp_00_00000_0090",323072107
100101101,1001,11,100101101,1001_11_1,穗乃果 (Summer Vacation 2023),穗乃果: Hey heyyy.,穗乃果: Hey heyyy.,"stamp_00_00000_0011,stamp_00_00000_0039,stamp_00_00000_0081",323082003
100101201,1001,12,100101201,1001_12_1,穗乃果 (9月 2023),穗乃果: Hey，got minute?,穗乃果: Hey，got minute?,stamp_00_00000_0060,323092104
100101301,1001,13,100101301,1001_13_1,穗乃果 (Halloween 2023),穗乃果: Trick 或 treat!,穗乃果: Trick 或 treat!,stamp_00_00000_0007,323103132
100101401,1001,14,100101401,1001_14_1,穗乃果 (11月 2023),穗乃果: Hey there.,穗乃果: Hey there.,"stamp_00_00000_0038,stamp_00_00000_0039",323111603
100101501,1001,15,100101501,1001_15_1,穗乃果 (Christmas 2023),穗乃果: Merry Christmas!,穗乃果: Merry Christmas!,"stamp_00_00000_0007,stamp_00_00000_0017,stamp_00_00000_0046,stamp_00_00000_0077,stamp_00_00000_0092",323122413
100101801,1001,18,100101801,1001_18_1,穗乃果 (White Day 2024),穗乃果: Today's White Day!,穗乃果: Today's White Day!,"stamp_00_00000_0020,stamp_00_00000_0076",324031435
100200101,1002,1,100200101,1002_1_1,繪里 (私訊),繪里上線了,繪里上線了,"stamp_00_00000_0001,stamp_00_00000_0005,stamp_00_00000_0009,stamp_00_00000_0090",1
100200102,1002,1,100200102,1002_1_2,繪里 (私訊),繪里: Do you have minute?,繪里: Do you have minute?,"stamp_00_00000_0008,stamp_00_00000_0048,stamp_00_00000_0060,stamp_00_00000_0077,stamp_00_00000_0091",1
100200103,1002,1,100200103,1002_1_3,繪里 (私訊),繪里上線了,繪里上線了,"stamp_00_00000_0001,stamp_00_00000_0003,stamp_00_00000_0005,stamp_00_00000_0061,stamp_00_00000_0092",1
100200104,1002,1,100200104,1002_1_4,繪里 (私訊),繪里: Hey there。Got second?,繪里: Hey there。Got second?,"stamp_00_00000_0016,stamp_00_00000_0029,stamp_00_00000_0059,stamp_00_00000_0080,stamp_00_00000_0081,stamp_00_00000_0085,stamp_00_00000_0088,stamp_00_00000_0091,stamp_00_00000_0092",1
100200105,1002,1,100200105,1002_1_5,繪里 (私訊),繪里: Do you have time 為 quick chat?,繪里: Do you have time 為 quick chat?,"stamp_00_00000_0004,stamp_00_00000_0005,stamp_00_00000_0029,stamp_00_00000_0080,stamp_00_00000_0088,stamp_00_00000_0091,stamp_00_00000_0095",1
100200106,1002,1,100200106,1002_1_6,繪里 (私訊),繪里上線了,繪里上線了,"stamp_00_00000_0005,stamp_00_00000_0008,stamp_00_00000_0014,stamp_00_00000_0029,stamp_00_00000_0037,stamp_00_00000_0046,stamp_00_00000_0048,stamp_00_00000_0057,stamp_00_00000_0088,stamp_00_00000_0093,stamp_00_00000_0095",1
100200107,1002,1,100200107,1002_1_7,繪里 (私訊),繪里: Do you have time 至 chat?,繪里: Do you have time 至 chat?,"stamp_00_00000_0004,stamp_00_00000_0022,stamp_00_00000_0024,stamp_00_00000_0037,stamp_00_00000_0045,stamp_00_00000_0049,stamp_00_00000_0052,stamp_00_00000_0081,stamp_00_00000_0082,stamp_00_00000_0090,stamp_00_00000_0094,stamp_01_01002_0005",1
